"degree" "normalised.degree" "species.strength" "interaction.push.pull" "nestedrank" "PDI" "species.specificity.index" "resource.range" "PSI" "node.specialisation.index.NSI" "betweenness" "weighted.betweenness" "closeness" "weighted.closeness" "Fisher.alpha" "partner.diversity" "effective.partners" "proportional.similarity" "proportional.generality" "d"
"RuFDV" 21 0.233333333333333 0.348362654021265 -0.0310303498085112 0.837209302325581 0.969749351771824 0.319376587267104 0.775280898876405 1 1.05813953488372 0.000657675657675658 0 0.0112761647535449 0.00244552408656099 14.235484294401 2.6277857086521 13.8430833205272 0.176500638569604 0.280602893456438 0.34702200526853
"SCBV" 54 0.6 1.16188022322749 0.00299778191162018 0.488372093023256 0.951123595505618 0.252841541616073 0.404494382022472 1 1.01162790697674 0.0128206095805602 0 0.0115462525320729 0.00609548193312133 23.2462583890596 3.2061684518811 24.6843256192154 0.425978045937225 0.500357689930375 0.233857312912636
"SCMV" 46 0.511111111111111 1.72726883755287 0.0158101921207146 0.616279069767442 0.961362072919055 0.314076322664949 0.49438202247191 1 1 0.0156500454892096 0.0127418593676262 0.0116137744767049 0.00858327607911124 12.9930063953458 2.76466509899172 15.8737229744972 0.331332481907195 0.321764486526272 0.343220641412047
"SPBgV" 59 0.655555555555556 1.04189148022848 0.000710025088618307 0.348837209302326 0.966292134831461 0.290251327651826 0.348314606741573 1 1 0.0156500454892096 0 0.0116137744767049 0.00708201313382489 21.8252164013201 3.16687050916751 23.7330955127047 0.55611206336403 0.48107600867126 0.129021290068125
"SPC6V" 64 0.711111111111111 1.03751514244732 0.000586174100739437 0.22093023255814 0.975085490962384 0.436489283479139 0.292134831460674 1 1.02325581395349 0.00516851061373471 0 0.0114787305874409 0.00810381346954117 20.513405478664 2.45780353877741 11.6791305892464 0.511699630665148 0.236739009692916 0.157570500950156
"SPCFV" 78 0.866666666666667 1.80976494948272 0.0103816019164452 0 0.972824666840867 0.342598667597218 0.134831460674157 1 1.02325581395349 0.00516851061373471 0.0835299669655498 0.0114787305874409 0.00861848460592154 24.1194052104081 2.97629792396803 19.615065598682 0.611787473610134 0.397602473010209 0.126938114187616
"SPCSV" 69 0.766666666666667 1.22412764988215 0.0032482268098863 0.0813953488372093 0.964484050109777 0.286756902847492 0.235955056179775 1 1.01162790697674 0.011606217162809 0 0.0115462525320729 0.00738295296558638 25.2841873337187 3.21086940035464 24.8006385383762 0.658707713873777 0.502715383004035 0.0741884515701829
"SPCV" 64 0.711111111111111 1.10647274005143 0.00166363656330361 0.244186046511628 0.877936670071502 0.162466503902193 0.292134831460674 1 1.02325581395349 0.00638290303148586 0 0.0114787305874409 0.00665037827344106 27.0600443480659 3.65074141339045 38.5032022588909 0.573350361856109 0.780469907680347 0.123729619498092
"SPFMV" 76 0.844444444444444 1.75542514566539 0.00993980454822885 0.0116279069767442 0.93900481540931 0.221915058914336 0.157303370786517 1 1 0.0156500454892096 0.141812175554507 0.0116137744767049 0.00872905975911736 25.0606075835551 3.46141299080957 31.8619653870177 0.634831069313828 0.645850311797845 0.108154357664954
"SPGVaV" 59 0.655555555555556 1.01651449137221 0.000279906633427327 0.337209302325581 0.938618393674573 0.236828832306444 0.348314606741573 1 1.01162790697674 0.0092123389401353 0.000235960358659745 0.0115462525320729 0.00734211402400545 20.3562130396727 3.23912139510785 25.5112975469582 0.697795074658362 0.5171206256405 0.0897740250219198
"SPLCV" 67 0.744444444444444 1.16876154416013 0.00251882901731533 0.127906976744186 0.94404053756334 0.219480703852085 0.258426966292135 1 1.01162790697674 0.0092123389401353 0 0.0115462525320729 0.00687348977753144 26.5299855316819 3.46024543928486 31.8247866090426 0.585409905854602 0.645096688314302 0.114109670648849
"SPLV" 52 0.577777777777778 1.61527279432973 0.0118321691217256 0.5 0.986705100300018 0.514794619703811 0.426966292134831 1 1.02325581395349 0.00516851061373471 0.00448324681453516 0.0114787305874409 0.00937871614109304 12.286243266799 2.03847168558195 7.67886450703378 0.442137937159851 0.155652577481673 0.25544404457227
"SPMMV" 65 0.722222222222222 1.05932603229923 0.000912708189218898 0.197674418604651 0.917704221075008 0.190990918455601 0.280898876404494 1 1 0.0156500454892096 0 0.0116137744767049 0.00719237697776289 25.1614709137222 3.52342533791357 33.9003499693774 0.709602041211237 0.687168896577217 0.0649270261834091
"SPMV" 65 0.722222222222222 1.05169231497327 0.000795266384204227 0.209302325581395 0.957677902621723 0.239485754908723 0.280898876404494 1 1 0.0156500454892096 0 0.0116137744767049 0.00690542061071813 26.2508675815108 3.4258675390509 30.7493095103024 0.677994802132733 0.623296488260232 0.0757784211707573
"SPPV" 73 0.811111111111111 1.65480046161825 0.00896986933723625 0.0348837209302326 0.958202247191011 0.243351090275396 0.191011235955056 1 1 0.0156500454892096 0.0580462482302973 0.0116137744767049 0.00842906261310089 24.1521075026478 3.42377323215053 30.6849784072635 0.652687764717767 0.621992480097168 0.0840266487293752
